gdp,family,lifeexpectancy,freedom,generosity,trust,alcohol_liperyear
1.004,1.439,0.802,0.39,0.099,0.086,19.3
1.124,1.465,0.891,0.523,0.127,0.15,15.7
1.572,1.463,1.141,0.556,0.271,0.453,2.9
0.794,1.242,0.789,0.43,0.093,0.074,12.8
1.294,1.488,1.039,0.231,0.158,0.03,12.0
1.362,1.368,0.871,0.536,0.255,0.11,22.1
1.246,1.504,0.881,0.334,0.121,0.014,16.6
1.206,1.438,0.884,0.483,0.117,0.05,17.1
0.745,1.529,0.756,0.631,0.322,0.24,12.8
1.238,1.515,0.818,0.291,0.043,0.042,18.9
0.985,1.41,0.841,0.47,0.099,0.034,15.2
1.258,1.523,0.953,0.564,0.144,0.057,17.7
0.694,1.325,0.835,0.435,0.2,0.127,15.9
1.092,1.432,0.881,0.471,0.066,0.05,14.6
1.162,1.232,0.825,0.462,0.083,0.005,18.8
1.263,1.223,1.042,0.406,0.19,0.041,15.6
0.912,1.312,0.868,0.498,0.126,0.087,9.5
1.5,1.319,0.808,0.493,0.142,0.097,1.0
1.05,1.409,0.828,0.557,0.359,0.028,20.3
1.187,1.465,0.812,0.264,0.075,0.064,17.2
1.301,1.219,1.036,0.159,0.175,0.056,16.0
1.237,1.528,0.874,0.495,0.103,0.161,15.9
0.831,1.478,0.831,0.49,0.107,0.028,11.9
1.12,1.402,0.798,0.498,0.215,0.06,11.5
1.327,1.419,1.088,0.445,0.069,0.14,14.1
0.642,1.236,0.828,0.507,0.246,0.078,13.5
1.173,1.508,0.729,0.41,0.146,0.096,19.2
0.776,1.209,0.706,0.511,0.137,0.064,10.5
1.201,1.41,0.828,0.199,0.081,0.02,17.1
0.855,1.475,0.777,0.514,0.184,0.08,20.1
0.96,1.274,0.854,0.455,0.083,0.027,11.8
1.221,1.431,0.999,0.508,0.047,0.025,17.8
0.677,0.886,0.535,0.313,0.22,0.098,26.0
1.183,1.452,0.726,0.334,0.082,0.031,20.1
0.807,1.293,0.657,0.558,0.117,0.107,19.9
1.004,1.383,0.854,0.282,0.137,0.039,18.5
0.685,1.328,0.739,0.245,0.181,0.0,22.8
1.044,1.303,0.673,0.416,0.133,0.152,26.4
1.051,1.361,0.871,0.197,0.142,0.08,14.8
0.493,1.098,0.718,0.389,0.23,0.144,15.8
1.155,1.266,0.914,0.296,0.119,0.022,15.0
1.015,1.401,0.779,0.497,0.113,0.101,16.0
0.945,1.212,0.845,0.212,0.263,0.006,13.4
1.183,1.36,0.808,0.195,0.083,0.106,28.5
1.221,1.171,0.828,0.508,0.26,0.024,3.1
1.067,1.465,0.789,0.235,0.094,0.142,15.2
1.181,1.156,0.999,0.067,0.0,0.034,15.9
0.948,1.531,0.667,0.317,0.235,0.038,21.9
0.696,1.111,0.245,0.426,0.215,0.041,25.5
0.551,1.438,0.723,0.508,0.3,0.023,24.0
1.052,1.538,0.657,0.394,0.244,0.028,17.8
1.002,1.16,0.785,0.086,0.073,0.114,29.1
0.801,0.782,0.782,0.418,0.036,0.076,24.5
1.043,1.147,0.769,0.351,0.035,0.182,3.7
0.987,1.224,0.815,0.216,0.166,0.027,25.0
0.931,1.203,0.66,0.491,0.498,0.028,3.4
1.029,1.125,0.893,0.521,0.058,0.1,12.9
0.741,1.346,0.851,0.543,0.147,0.073,22.8
0.813,1.321,0.604,0.457,0.37,0.167,1.9
0.837,1.225,0.815,0.383,0.11,0.13,24.6
0.393,0.437,0.397,0.349,0.175,0.082,11.6
1.057,1.183,0.571,0.295,0.043,0.055,17.2
0.764,1.03,0.551,0.547,0.266,0.164,25.9
0.96,1.351,0.469,0.389,0.13,0.055,29.9
0.947,0.848,0.874,0.383,0.178,0.027,14.6
0.96,1.427,0.805,0.154,0.064,0.047,14.9
0.574,1.122,0.637,0.609,0.232,0.062,21.7
0.45,1.134,0.571,0.292,0.153,0.072,3.5
0.0,0.698,0.268,0.559,0.243,0.27,1.5
0.879,1.313,0.477,0.401,0.07,0.056,32.4
0.138,0.774,0.366,0.318,0.188,0.102,2.5
0.331,1.056,0.38,0.255,0.177,0.113,22.2
0.85,1.055,0.815,0.283,0.095,0.064,21.3
1.1,0.842,0.785,0.305,0.27,0.125,28.4
0.38,0.829,0.375,0.332,0.207,0.086,5.8
0.886,0.666,0.752,0.346,0.043,0.164,27.9
0.308,0.939,0.428,0.382,0.269,0.167,14.1
0.512,0.983,0.581,0.431,0.372,0.053,14.1
0.57,1.167,0.489,0.066,0.106,0.088,3.8
0.204,0.986,0.39,0.494,0.197,0.138,11.4
0.921,1.0,0.815,0.167,0.059,0.055,36.6
0.562,0.928,0.723,0.527,0.166,0.143,0.9
1.043,0.98,0.574,0.241,0.148,0.089,12.4
0.385,1.105,0.308,0.327,0.153,0.052,5.7
1.34,1.587,0.986,0.596,0.153,0.393,14.8
1.383,1.573,0.996,0.592,0.252,0.41,13.9
1.488,1.582,1.028,0.603,0.271,0.341,9.4
1.38,1.624,1.026,0.591,0.354,0.118,12.8
1.396,1.522,0.999,0.557,0.322,0.298,12.0
1.452,1.526,1.052,0.572,0.263,0.343,14.2
1.387,1.487,1.009,0.574,0.267,0.373,12.5
1.303,1.557,1.026,0.585,0.33,0.38,14.3
1.365,1.505,1.039,0.584,0.285,0.308,13.8
1.376,1.475,1.016,0.532,0.244,0.226,14.9
1.372,1.548,1.036,0.557,0.332,0.29,13.4
1.034,1.441,0.963,0.558,0.144,0.093,13.0
1.276,1.455,1.029,0.371,0.261,0.082,7.0
1.609,1.479,1.012,0.526,0.194,0.316,14.1
1.333,1.538,0.996,0.45,0.348,0.278,15.6
1.499,1.553,0.999,0.516,0.298,0.31,16.0
1.373,1.454,0.987,0.495,0.261,0.265,16.9
1.356,1.504,0.986,0.473,0.16,0.21,15.9
1.433,1.457,0.874,0.454,0.28,0.128,13.7
1.269,1.487,0.92,0.457,0.046,0.036,19.1
1.503,1.31,0.825,0.598,0.262,0.182,20.5
1.3,1.52,0.999,0.564,0.375,0.151,12.8
1.07,1.323,0.861,0.433,0.074,0.073,15.3
1.324,1.472,1.045,0.436,0.111,0.183,16.7
1.159,1.369,0.92,0.357,0.187,0.056,13.7
0.8,1.269,0.746,0.535,0.175,0.078,9.0
1.403,1.357,0.795,0.439,0.08,0.132,3.8
1.684,1.313,0.871,0.555,0.22,0.167,4.4
0.549,0.91,0.331,0.381,0.187,0.037,22.6
1.092,1.513,0.815,0.311,0.081,0.004,19.2
0.611,0.868,0.486,0.381,0.245,0.04,10.2
0.446,1.226,0.677,0.439,0.285,0.089,7.4
1.286,1.484,1.062,0.362,0.153,0.079,14.6
1.149,1.442,0.91,0.516,0.109,0.054,16.5
0.268,0.841,0.242,0.309,0.252,0.045,18.3
0.949,1.265,0.831,0.47,0.244,0.047,14.9
0.35,0.766,0.192,0.174,0.198,0.078,6.9
0.82,1.39,0.739,0.178,0.187,0.01,13.8
0.336,1.033,0.532,0.344,0.209,0.1,12.6
0.811,1.149,0.0,0.313,0.074,0.135,34.4
0.332,1.069,0.443,0.356,0.252,0.06,26.0
0.913,1.039,0.644,0.241,0.076,0.067,14.3
0.578,1.058,0.426,0.431,0.247,0.087,17.7
0.275,0.572,0.41,0.293,0.177,0.085,12.0
0.755,0.765,0.588,0.498,0.2,0.085,14.6
0.073,0.922,0.443,0.37,0.233,0.033,18.7
0.274,0.757,0.505,0.142,0.275,0.078,22.3
0.274,0.916,0.555,0.148,0.169,0.041,9.2
0.489,1.169,0.168,0.359,0.107,0.093,28.2
0.046,0.447,0.38,0.22,0.176,0.18,23.7
0.366,1.114,0.433,0.361,0.151,0.089,27.2
0.323,0.688,0.449,0.026,0.419,0.11,16.5
1.041,1.145,0.538,0.455,0.025,0.1,26.2
0.619,0.378,0.44,0.013,0.331,0.141,15.5
0.191,0.56,0.495,0.443,0.218,0.089,15.5
0.287,1.163,0.463,0.143,0.108,0.077,9.4
0.359,0.711,0.614,0.555,0.217,0.411,25.6
0.476,0.885,0.499,0.417,0.276,0.147,25.8
0.35,0.517,0.361,0.0,0.158,0.025,33.5
0.026,0.0,0.105,0.225,0.235,0.035,8.8
0.673,0.799,0.508,0.372,0.105,0.093,15.1
0.094,1.125,0.357,0.269,0.212,0.053,7.1
0.569,0.808,0.232,0.352,0.154,0.09,21.7
0.71,1.181,0.555,0.525,0.566,0.172,17.6
1.231,1.477,0.713,0.489,0.185,0.016,14.2
