country,year,happinessrank,happinessscore,gdp,family,lifeexpectancy,freedom,trust,generosity
Romania,2018,52,5.945,1.11600,1.21900,0.72600,0.52800,0.00100,0.08800
Latvia,2018,53,5.933,1.14800,1.45400,0.67100,0.36300,0.06600,0.09200
Japan,2018,54,5.915,1.29400,1.46200,0.98800,0.55300,0.15000,0.07900
Mauritius,2018,55,5.891,1.09000,1.38700,0.68400,0.58400,0.05000,0.24500
Jamaica,2018,56,5.890,0.81900,1.49300,0.69300,0.57500,0.03100,0.09600
South Korea,2018,57,5.875,1.26600,1.20400,0.95500,0.24400,0.05100,0.17500
Northern Cyprus,2018,58,5.835,1.22900,1.21100,0.90900,0.49500,0.15400,0.17900
Russia,2018,59,5.810,1.15100,1.47900,0.59900,0.39900,0.02500,0.06500
Kazakhstan,2018,60,5.790,1.14300,1.51600,0.63100,0.45400,0.12100,0.14800
Cyprus,2018,61,5.762,1.22900,1.19100,0.90900,0.42300,0.03500,0.20200
Bolivia,2018,62,5.752,0.75100,1.22300,0.50800,0.60600,0.05400,0.14100
Estonia,2018,63,5.739,1.20000,1.53200,0.73700,0.55300,0.17400,0.08600
Paraguay,2018,64,5.681,0.83500,1.52200,0.61500,0.54100,0.07400,0.16200
Peru,2018,65,5.663,0.93400,1.24900,0.67400,0.53000,0.03400,0.09200
Kosovo,2018,66,5.662,0.85500,1.23000,0.57800,0.44800,0.02300,0.27400
Moldova,2018,67,5.640,0.65700,1.30100,0.62000,0.23200,0.00000,0.17100
Turkmenistan,2018,68,5.636,1.01600,1.53300,0.51700,0.41700,0.03700,0.19900
Hungary,2018,69,5.620,1.17100,1.40100,0.73200,0.25900,0.02200,0.06100
Libya,2018,70,5.566,0.98500,1.35000,0.55300,0.49600,0.14800,0.11600
Philippines,2018,71,5.524,0.77500,1.31200,0.51300,0.64300,0.10500,0.12000
Honduras,2018,72,5.504,0.62000,1.20500,0.62200,0.45900,0.07400,0.19700
Belarus,2018,73,5.483,1.03900,1.49800,0.70000,0.30700,0.15400,0.10100
Turkey,2018,74,5.483,1.14800,1.38000,0.68600,0.32400,0.10900,0.10600
Pakistan,2018,75,5.472,0.65200,0.81000,0.42400,0.33400,0.11300,0.21600
Hong Kong,2018,76,5.430,1.40500,1.29000,1.03000,0.52400,0.29100,0.24600
Portugal,2018,77,5.410,1.18800,1.42900,0.88400,0.56200,0.01700,0.05500
Serbia,2018,78,5.398,0.97500,1.36900,0.68500,0.28800,0.04300,0.13400
Greece,2018,79,5.358,1.15400,1.20200,0.87900,0.13100,0.04400,0.00000
Lebanon,2018,80,5.358,0.96500,1.17900,0.78500,0.50300,0.13600,0.21400
Montenegro,2018,81,5.347,1.01700,1.27900,0.72900,0.25900,0.08100,0.11100
Croatia,2018,82,5.321,1.11500,1.16100,0.73700,0.38000,0.03900,0.12000
Dominican Republic,2018,83,5.302,0.98200,1.44100,0.61400,0.57800,0.10600,0.12000
Algeria,2018,84,5.295,0.97900,1.15400,0.68700,0.07700,0.13500,0.05500
Morocco,2018,85,5.254,0.77900,0.79700,0.66900,0.46000,0.07400,0.02600
China,2018,86,5.246,0.98900,1.14200,0.79900,0.59700,0.10300,0.02900
Azerbaijan,2018,87,5.201,1.02400,1.16100,0.60300,0.43000,0.17600,0.03100
Tajikistan,2018,88,5.199,0.47400,1.16600,0.59800,0.29200,0.03400,0.18700
Macedonia,2018,89,5.185,0.95900,1.23900,0.69100,0.39400,0.05200,0.17300
Jordan,2018,90,5.161,0.82200,1.26500,0.64500,0.46800,0.13400,0.13000
Nigeria,2018,91,5.155,0.68900,1.17200,0.04800,0.46200,0.03200,0.20100
Kyrgyzstan,2018,92,5.131,0.53000,1.41600,0.59400,0.54000,0.03500,0.28100
Bosnia and Herzegovina,2018,93,5.129,0.91500,1.07800,0.75800,0.28000,0.00000,0.21600
Mongolia,2018,94,5.125,0.91400,1.51700,0.57500,0.39500,0.03200,0.25300
Vietnam,2018,95,5.103,0.71500,1.36500,0.70200,0.61800,0.07900,0.17700
Indonesia,2018,96,5.093,0.89900,1.21500,0.52200,0.53800,0.01800,0.48400
Bhutan,2018,97,5.082,0.79600,1.33500,0.52700,0.54100,0.17100,0.36400
Somalia,2018,98,4.982,0.00000,0.71200,0.11500,0.67400,0.28200,0.23800
Cameroon,2018,99,4.975,0.53500,0.89100,0.18200,0.45400,0.04300,0.18300
Bulgaria,2018,100,4.933,1.05400,1.51500,0.71200,0.35900,0.00900,0.06400
Nepal,2018,101,4.880,0.42500,1.22800,0.53900,0.52600,0.07800,0.30200
Venezuela,2018,102,4.806,0.99600,1.46900,0.65700,0.13300,0.05200,0.05600
Gabon,2018,103,4.758,1.03600,1.16400,0.40400,0.35600,0.05200,0.03200
Palestinian Territories,2018,104,4.743,0.64200,1.21700,0.60200,0.26600,0.07600,0.08600
South Africa,2018,105,4.724,0.94000,1.41000,0.33000,0.51600,0.05600,0.10300
Iran,2018,106,4.707,1.05900,0.77100,0.69100,0.45900,0.12900,0.28200
Ivory Coast,2018,107,4.671,0.54100,0.87200,0.08000,0.46700,0.10300,0.14600
Ghana,2018,108,4.657,0.59200,0.89600,0.33700,0.49900,0.02900,0.21200
Senegal,2018,109,4.631,0.42900,1.11700,0.43300,0.40600,0.08200,0.13800
Laos,2018,110,4.623,0.72000,1.03400,0.44100,0.62600,0.17400,0.23000
Tunisia,2018,111,4.592,0.90000,0.90600,0.69000,0.27100,0.06300,0.04000
Albania,2018,112,4.586,0.91600,0.81700,0.79000,0.41900,0.03200,0.14900
Sierra Leone,2018,113,4.571,0.25600,0.81300,0.00000,0.35500,0.05300,0.23800
Congo (Brazzaville),2018,114,4.559,0.68200,0.81100,0.34300,0.51400,0.07700,0.09100
Bangladesh,2018,115,4.500,0.53200,0.85000,0.57900,0.58000,0.14400,0.15300
Sri Lanka,2018,116,4.471,0.91800,1.31400,0.67200,0.58500,0.05000,0.30700
Iraq,2018,117,4.456,1.01000,0.97100,0.53600,0.30400,0.09500,0.14800
Mali,2018,118,4.447,0.37000,1.23300,0.15200,0.36700,0.05600,0.13900
Namibia,2018,119,4.441,0.87400,1.28100,0.36500,0.51900,0.06400,0.05100
Cambodia,2018,120,4.433,0.54900,1.08800,0.45700,0.69600,0.06500,0.25600
Burkina Faso,2018,121,4.424,0.31400,1.09700,0.25400,0.31200,0.12800,0.17500
Egypt,2018,122,4.419,0.88500,1.02500,0.55300,0.31200,0.10700,0.09200
Mozambique,2018,123,4.417,0.19800,0.90200,0.17300,0.53100,0.15800,0.20600
Kenya,2018,124,4.410,0.49300,1.04800,0.45400,0.50400,0.05500,0.35200
Zambia,2018,125,4.377,0.56200,1.04700,0.29500,0.50300,0.08200,0.22100
Mauritania,2018,126,4.356,0.55700,1.24500,0.29200,0.12900,0.09300,0.13400
Ethiopia,2018,127,4.350,0.30800,0.95000,0.39100,0.45200,0.14600,0.22000
Georgia,2018,128,4.340,0.85300,0.59200,0.64300,0.37500,0.21500,0.03800
Armenia,2018,129,4.321,0.81600,0.99000,0.66600,0.26000,0.02800,0.07700
Myanmar,2018,130,4.308,0.68200,1.17400,0.42900,0.58000,0.17800,0.59800
Chad,2018,131,4.301,0.35800,0.90700,0.05300,0.18900,0.06000,0.18100
Congo (Kinshasa),2018,132,4.245,0.06900,1.13600,0.20400,0.31200,0.05200,0.19700
India,2018,133,4.190,0.72100,0.74700,0.48500,0.53900,0.09300,0.17200
Niger,2018,134,4.166,0.13100,0.86700,0.22100,0.39000,0.09900,0.17500
Uganda,2018,135,4.161,0.32200,1.09000,0.23700,0.45000,0.06100,0.25900
Benin,2018,136,4.141,0.37800,0.37200,0.24000,0.44000,0.06700,0.16300
Sudan,2018,137,4.139,0.60500,1.24000,0.31200,0.01600,0.08200,0.13400
Ukraine,2018,138,4.103,0.79300,1.41300,0.60900,0.16300,0.01100,0.18700
Togo,2018,139,3.999,0.25900,0.47400,0.25300,0.43400,0.10100,0.15800
Guinea,2018,140,3.964,0.34400,0.79200,0.21100,0.39400,0.09400,0.18500
Lesotho,2018,141,3.808,0.47200,1.21500,0.07900,0.42300,0.11200,0.11600
Angola,2018,142,3.795,0.73000,1.12500,0.26900,0.00000,0.06100,0.07900
Madagascar,2018,143,3.774,0.26200,0.90800,0.40200,0.22100,0.04900,0.15500
Zimbabwe,2018,144,3.692,0.35700,1.09400,0.24800,0.40600,0.09900,0.13200
Afghanistan,2018,145,3.632,0.33200,0.53700,0.25500,0.08500,0.03600,0.19100
Botswana,2018,146,3.590,1.01700,1.17400,0.41700,0.55700,0.09200,0.04200
Malawi,2018,147,3.587,0.18600,0.54100,0.30600,0.53100,0.08000,0.21000
Haiti,2018,148,3.582,0.31500,0.71400,0.28900,0.02500,0.10400,0.39200
Liberia,2018,149,3.495,0.07600,0.85800,0.26700,0.41900,0.03000,0.20600
Syria,2018,150,3.462,0.68900,0.38200,0.53900,0.08800,0.14400,0.37600
Rwanda,2018,151,3.408,0.33200,0.89600,0.40000,0.63600,0.44400,0.20000
Yemen,2018,152,3.355,0.44200,1.07300,0.34300,0.24400,0.06400,0.08300
Tanzania,2018,153,3.303,0.45500,0.99100,0.38100,0.48100,0.09700,0.27000
South Sudan,2018,154,3.254,0.33700,0.60800,0.17700,0.11200,0.10600,0.22400
Central African Republic,2018,155,3.083,0.02400,0.00000,0.01000,0.30500,0.03800,0.21800
Burundi,2018,156,2.905,0.09100,0.62700,0.14500,0.06500,0.07600,0.14900
Finland,2019,1,7.769,1.34000,1.58700,0.98600,0.59600,0.39300,0.15300
Denmark,2019,2,7.600,1.38300,1.57300,0.99600,0.59200,0.41000,0.25200
Norway,2019,3,7.554,1.48800,1.58200,1.02800,0.60300,0.34100,0.27100
Iceland,2019,4,7.494,1.38000,1.62400,1.02600,0.59100,0.11800,0.35400
Netherlands,2019,5,7.488,1.39600,1.52200,0.99900,0.55700,0.29800,0.32200
Switzerland,2019,6,7.480,1.45200,1.52600,1.05200,0.57200,0.34300,0.26300
Sweden,2019,7,7.343,1.38700,1.48700,1.00900,0.57400,0.37300,0.26700
New Zealand,2019,8,7.307,1.30300,1.55700,1.02600,0.58500,0.38000,0.33000
Canada,2019,9,7.278,1.36500,1.50500,1.03900,0.58400,0.30800,0.28500
Austria,2019,10,7.246,1.37600,1.47500,1.01600,0.53200,0.22600,0.24400
Australia,2019,11,7.228,1.37200,1.54800,1.03600,0.55700,0.29000,0.33200
Costa Rica,2019,12,7.167,1.03400,1.44100,0.96300,0.55800,0.09300,0.14400
Israel,2019,13,7.139,1.27600,1.45500,1.02900,0.37100,0.08200,0.26100
Luxembourg,2019,14,7.090,1.60900,1.47900,1.01200,0.52600,0.31600,0.19400
United Kingdom,2019,15,7.054,1.33300,1.53800,0.99600,0.45000,0.27800,0.34800
Ireland,2019,16,7.021,1.49900,1.55300,0.99900,0.51600,0.31000,0.29800
Germany,2019,17,6.985,1.37300,1.45400,0.98700,0.49500,0.26500,0.26100
Belgium,2019,18,6.923,1.35600,1.50400,0.98600,0.47300,0.21000,0.16000
United States,2019,19,6.892,1.43300,1.45700,0.87400,0.45400,0.12800,0.28000
Czech Republic,2019,20,6.852,1.26900,1.48700,0.92000,0.45700,0.03600,0.04600
Malta,2019,22,6.726,1.30000,1.52000,0.99900,0.56400,0.15100,0.37500
Mexico,2019,23,6.595,1.07000,1.32300,0.86100,0.43300,0.07300,0.07400
France,2019,24,6.592,1.32400,1.47200,1.04500,0.43600,0.18300,0.11100
Taiwan,2019,25,6.446,1.36800,1.43000,0.91400,0.35100,0.09700,0.24200
Chile,2019,26,6.444,1.15900,1.36900,0.92000,0.35700,0.05600,0.18700
Guatemala,2019,27,6.436,0.80000,1.26900,0.74600,0.53500,0.07800,0.17500
Saudi Arabia,2019,28,6.375,1.40300,1.35700,0.79500,0.43900,0.13200,0.08000
Qatar,2019,29,6.374,1.68400,1.31300,0.87100,0.55500,0.16700,0.22000
Spain,2019,30,6.354,1.28600,1.48400,1.06200,0.36200,0.07900,0.15300
Panama,2019,31,6.321,1.14900,1.44200,0.91000,0.51600,0.05400,0.10900
Brazil,2019,32,6.300,1.00400,1.43900,0.80200,0.39000,0.08600,0.09900
Uruguay,2019,33,6.293,1.12400,1.46500,0.89100,0.52300,0.15000,0.12700
Singapore,2019,34,6.262,1.57200,1.46300,1.14100,0.55600,0.45300,0.27100
El Salvador,2019,35,6.253,0.79400,1.24200,0.78900,0.43000,0.07400,0.09300
Italy,2019,36,6.223,1.29400,1.48800,1.03900,0.23100,0.03000,0.15800
Bahrain,2019,37,6.199,1.36200,1.36800,0.87100,0.53600,0.11000,0.25500
Slovakia,2019,38,6.198,1.24600,1.50400,0.88100,0.33400,0.01400,0.12100
Trinidad & Tobago,2019,39,6.192,1.23100,1.47700,0.71300,0.48900,0.01600,0.18500
Poland,2019,40,6.182,1.20600,1.43800,0.88400,0.48300,0.05000,0.11700
Uzbekistan,2019,41,6.174,0.74500,1.52900,0.75600,0.63100,0.24000,0.32200
Lithuania,2019,42,6.149,1.23800,1.51500,0.81800,0.29100,0.04200,0.04300
Colombia,2019,43,6.125,0.98500,1.41000,0.84100,0.47000,0.03400,0.09900
Slovenia,2019,44,6.118,1.25800,1.52300,0.95300,0.56400,0.05700,0.14400
Nicaragua,2019,45,6.105,0.69400,1.32500,0.83500,0.43500,0.12700,0.20000
Kosovo,2019,46,6.100,0.88200,1.23200,0.75800,0.48900,0.00600,0.26200
Argentina,2019,47,6.086,1.09200,1.43200,0.88100,0.47100,0.05000,0.06600
Romania,2019,48,6.070,1.16200,1.23200,0.82500,0.46200,0.00500,0.08300
Cyprus,2019,49,6.046,1.26300,1.22300,1.04200,0.40600,0.04100,0.19000
Ecuador,2019,50,6.028,0.91200,1.31200,0.86800,0.49800,0.08700,0.12600
Kuwait,2019,51,6.021,1.50000,1.31900,0.80800,0.49300,0.09700,0.14200
Thailand,2019,52,6.008,1.05000,1.40900,0.82800,0.55700,0.02800,0.35900
Latvia,2019,53,5.940,1.18700,1.46500,0.81200,0.26400,0.06400,0.07500
South Korea,2019,54,5.895,1.30100,1.21900,1.03600,0.15900,0.05600,0.17500
Estonia,2019,55,5.893,1.23700,1.52800,0.87400,0.49500,0.16100,0.10300
Jamaica,2019,56,5.890,0.83100,1.47800,0.83100,0.49000,0.02800,0.10700
Mauritius,2019,57,5.888,1.12000,1.40200,0.79800,0.49800,0.06000,0.21500
Japan,2019,58,5.886,1.32700,1.41900,1.08800,0.44500,0.14000,0.06900
Honduras,2019,59,5.860,0.64200,1.23600,0.82800,0.50700,0.07800,0.24600
Kazakhstan,2019,60,5.809,1.17300,1.50800,0.72900,0.41000,0.09600,0.14600
Bolivia,2019,61,5.779,0.77600,1.20900,0.70600,0.51100,0.06400,0.13700
Hungary,2019,62,5.758,1.20100,1.41000,0.82800,0.19900,0.02000,0.08100
Paraguay,2019,63,5.743,0.85500,1.47500,0.77700,0.51400,0.08000,0.18400
Northern Cyprus,2019,64,5.718,1.26300,1.25200,1.04200,0.41700,0.16200,0.19100
Peru,2019,65,5.697,0.96000,1.27400,0.85400,0.45500,0.02700,0.08300
Portugal,2019,66,5.693,1.22100,1.43100,0.99900,0.50800,0.02500,0.04700
Pakistan,2019,67,5.653,0.67700,0.88600,0.53500,0.31300,0.09800,0.22000
Russia,2019,68,5.648,1.18300,1.45200,0.72600,0.33400,0.03100,0.08200
Philippines,2019,69,5.631,0.80700,1.29300,0.65700,0.55800,0.10700,0.11700
Serbia,2019,70,5.603,1.00400,1.38300,0.85400,0.28200,0.03900,0.13700
Moldova,2019,71,5.529,0.68500,1.32800,0.73900,0.24500,0.00000,0.18100
Libya,2019,72,5.525,1.04400,1.30300,0.67300,0.41600,0.15200,0.13300
Montenegro,2019,73,5.523,1.05100,1.36100,0.87100,0.19700,0.08000,0.14200
Tajikistan,2019,74,5.467,0.49300,1.09800,0.71800,0.38900,0.14400,0.23000
Croatia,2019,75,5.432,1.15500,1.26600,0.91400,0.29600,0.02200,0.11900
Hong Kong,2019,76,5.430,1.43800,1.27700,1.12200,0.44000,0.28700,0.25800
Dominican Republic,2019,77,5.425,1.01500,1.40100,0.77900,0.49700,0.10100,0.11300
Bosnia and Herzegovina,2019,78,5.386,0.94500,1.21200,0.84500,0.21200,0.00600,0.26300
Turkey,2019,79,5.373,1.18300,1.36000,0.80800,0.19500,0.10600,0.08300
Malaysia,2019,80,5.339,1.22100,1.17100,0.82800,0.50800,0.02400,0.26000
Belarus,2019,81,5.323,1.06700,1.46500,0.78900,0.23500,0.14200,0.09400
Greece,2019,82,5.287,1.18100,1.15600,0.99900,0.06700,0.03400,0.00000
Mongolia,2019,83,5.285,0.94800,1.53100,0.66700,0.31700,0.03800,0.23500
North Macedonia,2019,84,5.274,0.98300,1.29400,0.83800,0.34500,0.03400,0.18500
Nigeria,2019,85,5.265,0.69600,1.11100,0.24500,0.42600,0.04100,0.21500
Kyrgyzstan,2019,86,5.261,0.55100,1.43800,0.72300,0.50800,0.02300,0.30000
Turkmenistan,2019,87,5.247,1.05200,1.53800,0.65700,0.39400,0.02800,0.24400
Algeria,2019,88,5.211,1.00200,1.16000,0.78500,0.08600,0.11400,0.07300
Morocco,2019,89,5.208,0.80100,0.78200,0.78200,0.41800,0.07600,0.03600
Azerbaijan,2019,90,5.208,1.04300,1.14700,0.76900,0.35100,0.18200,0.03500
Lebanon,2019,91,5.197,0.98700,1.22400,0.81500,0.21600,0.02700,0.16600
Indonesia,2019,92,5.192,0.93100,1.20300,0.66000,0.49100,0.02800,0.49800
China,2019,93,5.191,1.02900,1.12500,0.89300,0.52100,0.10000,0.05800
Vietnam,2019,94,5.175,0.74100,1.34600,0.85100,0.54300,0.07300,0.14700
Bhutan,2019,95,5.082,0.81300,1.32100,0.60400,0.45700,0.16700,0.37000
Cameroon,2019,96,5.044,0.54900,0.91000,0.33100,0.38100,0.03700,0.18700
Bulgaria,2019,97,5.011,1.09200,1.51300,0.81500,0.31100,0.00400,0.08100
Ghana,2019,98,4.996,0.61100,0.86800,0.48600,0.38100,0.04000,0.24500
Ivory Coast,2019,99,4.944,0.56900,0.80800,0.23200,0.35200,0.09000,0.15400
Nepal,2019,100,4.913,0.44600,1.22600,0.67700,0.43900,0.08900,0.28500
Jordan,2019,101,4.906,0.83700,1.22500,0.81500,0.38300,0.13000,0.11000
Benin,2019,102,4.883,0.39300,0.43700,0.39700,0.34900,0.08200,0.17500
Congo (Brazzaville),2019,103,4.812,0.67300,0.79900,0.50800,0.37200,0.09300,0.10500
Gabon,2019,104,4.799,1.05700,1.18300,0.57100,0.29500,0.05500,0.04300
Laos,2019,105,4.796,0.76400,1.03000,0.55100,0.54700,0.16400,0.26600
South Africa,2019,106,4.722,0.96000,1.35100,0.46900,0.38900,0.05500,0.13000
Albania,2019,107,4.719,0.94700,0.84800,0.87400,0.38300,0.02700,0.17800
Venezuela,2019,108,4.707,0.96000,1.42700,0.80500,0.15400,0.04700,0.06400
Cambodia,2019,109,4.700,0.57400,1.12200,0.63700,0.60900,0.06200,0.23200
Palestinian Territories,2019,110,4.696,0.65700,1.24700,0.67200,0.22500,0.06600,0.10300
Senegal,2019,111,4.681,0.45000,1.13400,0.57100,0.29200,0.07200,0.15300
Somalia,2019,112,4.668,0.00000,0.69800,0.26800,0.55900,0.27000,0.24300
Namibia,2019,113,4.639,0.87900,1.31300,0.47700,0.40100,0.05600,0.07000
Niger,2019,114,4.628,0.13800,0.77400,0.36600,0.31800,0.10200,0.18800
Burkina Faso,2019,115,4.587,0.33100,1.05600,0.38000,0.25500,0.11300,0.17700
Armenia,2019,116,4.559,0.85000,1.05500,0.81500,0.28300,0.06400,0.09500
Iran,2019,117,4.548,1.10000,0.84200,0.78500,0.30500,0.12500,0.27000
Guinea,2019,118,4.534,0.38000,0.82900,0.37500,0.33200,0.08600,0.20700
Georgia,2019,119,4.519,0.88600,0.66600,0.75200,0.34600,0.16400,0.04300
Gambia,2019,120,4.516,0.30800,0.93900,0.42800,0.38200,0.16700,0.26900
Kenya,2019,121,4.509,0.51200,0.98300,0.58100,0.43100,0.05300,0.37200
Mauritania,2019,122,4.490,0.57000,1.16700,0.48900,0.06600,0.08800,0.10600
Mozambique,2019,123,4.466,0.20400,0.98600,0.39000,0.49400,0.13800,0.19700
Tunisia,2019,124,4.461,0.92100,1.00000,0.81500,0.16700,0.05500,0.05900
Bangladesh,2019,125,4.456,0.56200,0.92800,0.72300,0.52700,0.14300,0.16600
Iraq,2019,126,4.437,1.04300,0.98000,0.57400,0.24100,0.08900,0.14800
Congo (Kinshasa),2019,127,4.418,0.09400,1.12500,0.35700,0.26900,0.05300,0.21200
Mali,2019,128,4.390,0.38500,1.10500,0.30800,0.32700,0.05200,0.15300
Sierra Leone,2019,129,4.374,0.26800,0.84100,0.24200,0.30900,0.04500,0.25200
Sri Lanka,2019,130,4.366,0.94900,1.26500,0.83100,0.47000,0.04700,0.24400
Myanmar,2019,131,4.360,0.71000,1.18100,0.55500,0.52500,0.17200,0.56600
Chad,2019,132,4.350,0.35000,0.76600,0.19200,0.17400,0.07800,0.19800
Ukraine,2019,133,4.332,0.82000,1.39000,0.73900,0.17800,0.01000,0.18700
Ethiopia,2019,134,4.286,0.33600,1.03300,0.53200,0.34400,0.10000,0.20900
Swaziland,2019,135,4.212,0.81100,1.14900,0.00000,0.31300,0.13500,0.07400
Uganda,2019,136,4.189,0.33200,1.06900,0.44300,0.35600,0.06000,0.25200
Egypt,2019,137,4.166,0.91300,1.03900,0.64400,0.24100,0.06700,0.07600
Zambia,2019,138,4.107,0.57800,1.05800,0.42600,0.43100,0.08700,0.24700
Togo,2019,139,4.085,0.27500,0.57200,0.41000,0.29300,0.08500,0.17700
India,2019,140,4.015,0.75500,0.76500,0.58800,0.49800,0.08500,0.20000
Liberia,2019,141,3.975,0.07300,0.92200,0.44300,0.37000,0.03300,0.23300
Comoros,2019,142,3.973,0.27400,0.75700,0.50500,0.14200,0.07800,0.27500
Madagascar,2019,143,3.933,0.27400,0.91600,0.55500,0.14800,0.04100,0.16900
Lesotho,2019,144,3.802,0.48900,1.16900,0.16800,0.35900,0.09300,0.10700
Burundi,2019,145,3.775,0.04600,0.44700,0.38000,0.22000,0.18000,0.17600
Zimbabwe,2019,146,3.663,0.36600,1.11400,0.43300,0.36100,0.08900,0.15100
Haiti,2019,147,3.597,0.32300,0.68800,0.44900,0.02600,0.11000,0.41900
Botswana,2019,148,3.488,1.04100,1.14500,0.53800,0.45500,0.10000,0.02500
Syria,2019,149,3.462,0.61900,0.37800,0.44000,0.01300,0.14100,0.33100
Malawi,2019,150,3.410,0.19100,0.56000,0.49500,0.44300,0.08900,0.21800
Yemen,2019,151,3.380,0.28700,1.16300,0.46300,0.14300,0.07700,0.10800
Rwanda,2019,152,3.334,0.35900,0.71100,0.61400,0.55500,0.41100,0.21700
Tanzania,2019,153,3.231,0.47600,0.88500,0.49900,0.41700,0.14700,0.27600
Afghanistan,2019,154,3.203,0.35000,0.51700,0.36100,0.00000,0.02500,0.15800
Central African Republic,2019,155,3.083,0.02600,0.00000,0.10500,0.22500,0.03500,0.23500
South Sudan,2019,156,2.853,0.30600,0.57500,0.29500,0.01000,0.09100,0.20200
